Passcode$Name$Status$Attribute$type$link$link_arrows$rank$pendulum_scale$level$attack$defense$spell_attribute$summoning_condition$pendulum_condition$card_text$card_supports$card_anti_supports$card_actions$effect_types$
13945283$Mur des Illusions$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 4$1000$1850$$$$Si cette carte est attaquée par un monstre, après le calcul des dommages : renvoyez le monstre à la main.$$$Returns from field to hand/Returns from your opponent's field to your opponent's hand/Returns battling monster to hand after damage calculation$Trigger$
87523462$Falcos, le Sage Ailé$Unlimited(OCG)/Unlimited(TCG)$VENT$[Bête Ailée/Effet]$$$$$Niveau 4$1700$1200$$$$Lorsque cette carte détruit un monstre de votre adversaire en Position d'Attaque face recto au combat et l'envoie au Cimetière de votre adversaire : vous pouvez placer le monstre au-dessus de son Deck.$$$Returns from your opponent's Graveyard to your opponent's Deck$Trigger$
56647086$Envahisseur des Ténèbres$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 8$2900$2500$$$$Votre adversaire ne peut pas activer de Cartes Magie Jeu-Rapide.$$Quick-Play Spell Card$$Continuous$
52323207$Golem Sentinelle$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Rocher/Effet]$$$$$Niveau 4$800$1800$$$$Une fois par tour : vous pouvez changer cette carte en Position de Défense face verso. Lorsque cette carte est Invoquée par Flip : ciblez 1 monstre contrôlé par votre adversaire ; renvoyez la cible à la main.$$$Changes battle positions/Flips itself face-down/Activates upon Flip Summon/Returns from your opponent's field to your opponent's hand$Ignition/Trigger$
53828396$Explosif Adhésif$Unlimited(OCG)/Unlimited(TCG)$VENT$[Machine/Effet]$$$$$Niveau 3$1000$1000$$$$Avant le calcul des dommages, si cette carte a été attaquée par un monstre de votre adversaire et était en Position de Défense face verso au début de la Damage Step : équipez cette carte au monstre attaquant. Puis, durant la prochaine Standby Phase de votre adversaire, détruisez le monstre équipé à cette carte.$$$Equips self from field$Trigger/Continuous-like$
95701283$Goryu - Méca Majestueux$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Elfe/Effet]$$$$$Niveau 8$2900$1800$$$$Vous pouvez Invoquer par Sacrifice (mais pas Poser) cette carte avec 1 Sacrifice. Si elle est Invoquée de cette façon, durant la End Phase : envoyez-la au Cimetière. Si cette carte attaque un monstre en Position de Défense, infligez des dommages de combat perçants à votre adversaire.$$$Sends itself from field to Graveyard$Summon/Trigger/Continuous$
50287060$Archdémon de Gilfer$Unlimited(OCG)/Unlimited(TCG)/Unlimited(TCGSpeed Duel)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 6$2200$2500$$$$Lorsque cette carte est envoyée au Cimetière : vous pouvez cibler 1 monstre face recto sur le Terrain ; équipez cette carte à la cible. Le monstre perd 500 ATK tant qu'il est équipé avec cette carte.$$$Activates from your Graveyard/Equips self from Graveyard$Trigger/Continuous-like$
22624373$Lyla la Magicienne, Seigneur Lumière$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Magicien/Effet]$$$$$Niveau 4$1700$200$$$$Durant votre Main Phase : vous pouvez cibler 1 Carte Magie/Piège contrôlée par votre adversaire ; changez cette carte en Position d'Attaque face recto que vous contrôlez en Position de Défense face recto, et détruisez la cible, mais jusqu'à la fin de votre prochain tour, la position de combat de cette carte ne peut pas être changée, sauf avec un effet de carte. Durant chacune de vos End Phases : envoyez les 3 cartes du dessus de votre Deck au Cimetière. Vous devez contrôler cette carte face recto pour activer et résoudre cet effet.$$$Changes battle positions/Prevents Battle Position changes/Sends from the top of your Deck to your Graveyard$Ignition/Trigger$
18489208$Figue Maudite$Unlimited(OCG)/Unlimited(TCG)$EAU$[Plante/Effet]$$$$$Niveau 1$200$200$$$$Lorsque cette carte est détruite au combat et envoyée au Cimetière : ciblez 2 Cartes Magie/Piège Posées sur le Terrain ; tant que cette carte est dans le Cimetière, ces cartes Posées ne peuvent pas être activées.$$$Activates from your Graveyard$Trigger$
68722455$Ogre Rouge$Unlimited(OCG)/Unlimited(TCG)$TERRE$[Zombie/Effet]$$$$$Niveau 7$2800$2100$$$$Lorsque cette carte est Invoquée Normalement : vous pouvez envoyer un nombre de votre choix de cartes depuis votre main au Cimetière, puis ciblez le même nombre de cartes sur le Terrain ; renvoyez les cibles à la main.$$$Activates upon Normal Summon/Sends from hand to Graveyard for cost/Returns from field to hand$Trigger$
11613567$Aile Noire - Elphin le Corbeau Funeste$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Bête Ailée/Effet]$$$$$Niveau 6$2200$1200$$$$Si vous contrôlez un monstre "Aile Noire", vous pouvez Invoquer Normalement cette carte sans Sacrifice. Lorsque cette carte est Invoquée Normalement : vous pouvez cibler 1 monstre contrôlé par votre adversaire ; changez la position de combat de la cible.$Supports archetypes /Blackwing$$Changes battle positions$Summon/Trigger$
88650530$Ver - Apocalypse$Unlimited(OCG)/Unlimited(TCG)$LUMIÈRE$[Reptile/Flip／Effet]$$$$$Niveau 1$300$200$$$$FLIP : Ciblez 1 Carte Magie/Piège sur le Terrain ; détruisez la cible.$$$Activates upon being flipped face-up$Flip$
98954375$Destructeur Enfernité$Unlimited(OCG)/Unlimited(TCG)$TÉNÈBRES$[Démon/Effet]$$$$$Niveau 6$2300$1000$$$$Lorsque cette carte détruit un monstre de votre adversaire au combat et l'envoie au Cimetière : infligez 1600 points de dommages à votre adversaire. Vous ne devez avoir aucune carte dans votre main pour activer et résoudre cet effet.$$$Activates when it destroys a monster by battle$Trigger/Condition$
